Account Number,Plan Description,Balance,Plan Description,Sector Description ,DataDate,Activity Description,Plan,Activity,Sector,Sector Desc
05.16.10,O/Space,0,05-O/Space,Sector 10,26/08/2024,Structured Open Space,05,16,10,Sector 10
05.16.10,O/Space,-0.22,05-O/Space,Sector 10,26/08/2024,Structured Open Space,05,16,10,Sector 10
06.08.00,Contribution Street Trees,-12871.35,06-Contribution Street Trees,No Sector,26/08/2024,Street Trees,06,08,00,No Sector
06.08.00,Contribution Street Trees,-25839,06-Contribution Street Trees,No Sector,26/08/2024,Street Trees,06,08,00,No Sector
06.08.00,Contribution Street Trees,2583.9,06-Contribution Street Trees,No Sector,26/08/2024,Street Trees,06,08,00,No Sector
06.08.00,Contribution Street Trees,-316216.1,06-Contribution Street Trees,No Sector,26/08/2024,Street Trees,06,08,00,No Sector
07.01.00,West K'Cliff,-10102.17,07-West K'Cliff,No Sector,26/08/2024,Drainage,07,01,00,No Sector
07.01.00,West K'Cliff,-11230.84,07-West K'Cliff,No Sector,26/08/2024,Drainage,07,01,00,No Sector
07.01.00,West K'Cliff,561.55,07-West K'Cliff,No Sector,26/08/2024,Drainage,07,01,00,No Sector
07.01.00,West K'Cliff,-248902.7,07-West K'Cliff,No Sector,26/08/2024,Drainage,07,01,00,No Sector
07.05.00,West K'Cliff,-47033.64,07-West K'Cliff,No Sector,26/08/2024,Open Space,07,05,00,No Sector
07.05.00,West K'Cliff,-516988.77,07-West K'Cliff,No Sector,26/08/2024,Open Space,07,05,00,No Sector
07.05.00,West K'Cliff,26173.81,07-West K'Cliff,No Sector,26/08/2024,Open Space,07,05,00,No Sector
07.05.00,West K'Cliff,-1001552.85,07-West K'Cliff,No Sector,26/08/2024,Open Space,07,05,00,No Sector
07.06.00,West K'Cliff,-0.19,07-West K'Cliff,No Sector,26/08/2024,Community Facilities,07,06,00,No Sector
07.06.00,West K'Cliff,4.87,07-West K'Cliff,No Sector,26/08/2024,Community Facilities,07,06,00,No Sector
07.06.00,West K'Cliff,-4.68,07-West K'Cliff,No Sector,26/08/2024,Community Facilities,07,06,00,No Sector
07.07.00,West K'Cliff,0.13,07-West K'Cliff,No Sector,26/08/2024,Footpath/Cycleway,07,07,00,No Sector
07.07.00,West K'Cliff,-3.31,07-West K'Cliff,No Sector,26/08/2024,Footpath/Cycleway,07,07,00,No Sector
07.07.00,West K'Cliff,3.18,07-West K'Cliff,No Sector,26/08/2024,Footpath/Cycleway,07,07,00,No Sector
07.15.00,West K'Cliff,-22.42,07-West K'Cliff,No Sector,26/08/2024,Casual Open Space,07,15,00,No Sector
07.15.00,West K'Cliff,-6487.52,07-West K'Cliff,No Sector,26/08/2024,Casual Open Space,07,15,00,No Sector
09.14.00,Cobaki Lakes,0,09-Cobaki Lakes,No Sector,26/08/2024,Other,09,14,00,No Sector
09.14.00,Cobaki Lakes,0,09-Cobaki Lakes,No Sector,26/08/2024,Other,09,14,00,No Sector
10.14.00,Cobaki Lakes,66.31,10-Cobaki Lakes,No Sector,26/08/2024,Other,10,14,00,No Sector
10.14.00,Cobaki Lakes,1673.32,10-Cobaki Lakes,No Sector,26/08/2024,Other,10,14,00,No Sector
11.06.00,Libraries,-70167.21,11-Libraries,No Sector,26/08/2024,Community Facilities,11,06,00,No Sector
11.06.00,Libraries,-152618.2,11-Libraries,No Sector,26/08/2024,Community Facilities,11,06,00,No Sector
11.06.00,Libraries,68040.33,11-Libraries,No Sector,26/08/2024,Community Facilities,11,06,00,No Sector
11.06.00,Libraries,7630.92,11-Libraries,No Sector,26/08/2024,Community Facilities,11,06,00,No Sector
11.06.00,Libraries,-1694192.91,11-Libraries,No Sector,26/08/2024,Community Facilities,11,06,00,No Sector
12.10.00,Bus Shelters,-9911.23,12-Bus Shelters,No Sector,26/08/2024,Bus Shelters,12,10,00,No Sector
12.10.00,Bus Shelters,-10442.09,12-Bus Shelters,No Sector,26/08/2024,Bus Shelters,12,10,00,No Sector
12.10.00,Bus Shelters,522.1,12-Bus Shelters,No Sector,26/08/2024,Bus Shelters,12,10,00,No Sector
12.10.00,Bus Shelters,-244974.16,12-Bus Shelters,No Sector,26/08/2024,Bus Shelters,12,10,00,No Sector
13.11.00,Cemeteries,-5769.33,13-Cemeteries,No Sector,26/08/2024,Cemeteries,13,11,00,No Sector
13.11.00,Cemeteries,-20965.8,13-Cemeteries,No Sector,26/08/2024,Cemeteries,13,11,00,No Sector
13.11.00,Cemeteries,152264.4,13-Cemeteries,No Sector,26/08/2024,Cemeteries,13,11,00,No Sector
13.11.00,Cemeteries,1048.3,13-Cemeteries,No Sector,26/08/2024,Cemeteries,13,11,00,No Sector
13.11.00,Cemeteries,-135007.59,13-Cemeteries,No Sector,26/08/2024,Cemeteries,13,11,00,No Sector
14.14.00,Mebbin Springs,-6136.33,14-Mebbin Springs,No Sector,26/08/2024,Other,14,14,00,No Sector
14.14.00,Mebbin Springs,-62353,14-Mebbin Springs,No Sector,26/08/2024,Other,14,14,00,No Sector
14.14.00,Mebbin Springs,6235.3,14-Mebbin Springs,No Sector,26/08/2024,Other,14,14,00,No Sector
14.14.00,Mebbin Springs,-111857.39,14-Mebbin Springs,No Sector,26/08/2024,Other,14,14,00,No Sector
15.06.00,Community Facilities,-110481.16,15-Community Facilities,No Sector,26/08/2024,Community Facilities,15,06,00,No Sector
15.06.00,Community Facilities,-238738.9,15-Community Facilities,No Sector,26/08/2024,Community Facilities,15,06,00,No Sector
15.06.00,Community Facilities,11831.53,15-Community Facilities,No Sector,26/08/2024,Community Facilities,15,06,00,No Sector
15.06.00,Community Facilities,-2662111.04,15-Community Facilities,No Sector,26/08/2024,Community Facilities,15,06,00,No Sector
15.06.01,Community Facilities,-52842.1,15-Community Facilities,Sector 1,26/08/2024,Community Facilities,15,06,01,Sector 1
15.06.01,Community Facilities,-167760,15-Community Facilities,Sector 1,26/08/2024,Community Facilities,15,06,01,Sector 1
15.06.01,Community Facilities,8388,15-Community Facilities,Sector 1,26/08/2024,Community Facilities,15,06,01,Sector 1
15.06.01,Community Facilities,-1273843.75,15-Community Facilities,Sector 1,26/08/2024,Community Facilities,15,06,01,Sector 1
15.06.02,Community Facilities,15853.45,15-Community Facilities,Sector 2,26/08/2024,Community Facilities,15,06,02,Sector 2
15.06.02,Community Facilities,-4672,15-Community Facilities,Sector 2,26/08/2024,Community Facilities,15,06,02,Sector 2
15.06.02,Community Facilities,233.6,15-Community Facilities,Sector 2,26/08/2024,Community Facilities,15,06,02,Sector 2
15.06.02,Community Facilities,402972.07,15-Community Facilities,Sector 2,26/08/2024,Community Facilities,15,06,02,Sector 2
16.12.00,Surf Lifesaving,-24819.66,16-Surf Lifesaving,No Sector,26/08/2024,Surf Lifesaving,16,12,00,No Sector
16.12.00,Surf Lifesaving,-2289.93,16-Surf Lifesaving,No Sector,26/08/2024,Surf Lifesaving,16,12,00,No Sector
16.12.00,Surf Lifesaving,114.5,16-Surf Lifesaving,No Sector,26/08/2024,Surf Lifesaving,16,12,00,No Sector
