site,description,latlong,sharelink,Locality,Segment.ASSET_ID,Segment.ROAD_NAME,Segment.SUBURB
Site 44,BURRINGBAR ROAD west of SCHOOL,"-28.436225, 153.465492",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 44,Burringbar,RD.189.10.A,Burringbar Road,Burringbar
Site 181,GLEN AYRE DRIVE at No 10,"-28.229344, 153.527273",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 181,Banora Point,RD.533.10.A,Glen Ayr Drive,Banora Point
Site 45,BURRINGBAR ROAD west of BINALONG COURT,"-28.442873, 153.445535",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 45,Burringbar,RD.189.70.A,Burringbar Road,Upper Burringbar
Site 182,GLENGARRIE ROAD off CAROOL ROAD,"-28.224709, 153.412951",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 182,Carool,RD.539.10.A,Glengarrie Road,Carool
Site 183,GEORGE STREET at No 12,"-28.321163, 153.399888",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 183,Murwillumbah,RD.526.40.A,George Street,Murwillumbah
Site 46,BYANGUM ROAD at No 24,"-28.32747, 153.391394",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 46,Murwillumbah,RD.196.30.A,Byangum Road,Murwillumbah
Site 184,GEORGE STREET east of TWEED STREET,"-28.321597, 153.402756",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 184,Murwillumbah,RD.526.20.A,George Street,Murwillumbah
Site 185,GOLLAN DRIVE at No 16,"-28.192688, 153.507632",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 185,Tweed Heads West,RD.547.30.A,Gollan Drive,Tweed Heads West
Site 47,BYANGUM ROAD at No 110,"-28.330233, 153.381569",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 47,Murwillumbah,RD.196.110.A,Byangum Road,Murwillumbah
Site 186,GULL PLACE off SCENIC DRIVE,"-28.195208, 153.504873",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 186,Tweed Heads West,RD.564.10.A,Gull Place,Tweed Heads West
Site 187,HALL DRIVE off BYANGUM ROAD,"-28.333222, 153.371643",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 187,Murwillumbah,RD.572.10.A,Hall Drive,Murwillumbah
Site 48,BYANGUM ROAD west of WILLIAM STREET,"-28.329147, 153.389002",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 48,Murwillumbah,RD.196.50.A,Byangum Road,Murwillumbah
Site 188,HILL STREET at No 22,"-28.167327, 153.548532",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 188,Tweed Heads,RD.600.10.A.1,Hill Street,Tweed Heads
Site 189,HAMMOND DRIVE off CLOTHIERS CREEK ROAD,"-28.326622, 153.473991",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 189,Clothiers Creek,RD.573.20.A,Hammond Drive,Clothiers Creek
Site 49,BYANGUM ROAD north of TREE STREET,"-28.333211, 153.372153",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 49,Murwillumbah,RD.196.150.A,Byangum Road,Murwillumbah
Site 191,HASTINGS ROAD at No 3,"-28.336322, 153.573536",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 191,Bogangar,RD.582.10.A,Hastings Road,Bogangar
Site 50,BYRRILL CREEK just off M.R.142,"-28.438033,153.280049",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 50,Byrrill Creek,RD.197.15.A.2,Byrrill Creek Road,Byrrill Creek
Site 192,HENRY LAWSON DRIVE south of ELIZA FRASER COURT,"-28.24005, 153.500895",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 192,Terranora,RD.591.10.A,Henry Lawson Drive,Terranora
Site 193,HILLCREST AVE at No 71,"-28.205796, 153.516957",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 193,Tweed Heads South,RD.601.10.A,Hillcrest Avenue,Tweed Heads South
Site 51,BYRRILL CREEK BRAY'S CREEK end,"-28.392563, 153.192989",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 51,Brays Creek,RD.197.120.A,Byrrill Creek Road,Brays Creek
Site 194,HILLCREST AVE at No 35,"-28.2015, 153.516824",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 194,Tweed Heads South,RD.601.30.A,Hillcrest Avenue,Tweed Heads South
Site 195,HILLCREST AVE at No 3,"-28.199876, 153.5165",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 195,Tweed Heads South,RD.601.40.A,Hillcrest Avenue,Tweed Heads South
Site 52,CALOOLA DRIVE off DUCAT STREET northern end,"-28.177689, 153.52815",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 52,Tweed Heads,RD.206.50.A,Caloola Drive,Tweed Heads
Site 196,HINDMARSH ROAD off CLOTHIERS CK ROAD,"-28.323272, 153.455604",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 196,Nunderi,RD.603.10.A.1,Hindmarsh Road,Nunderi
Site 197,HINDMARSH ROAD at No 47,"-28.326005, 153.456411",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 197,Nunderi,RD.603.10.A.1,Hindmarsh Road,Nunderi
Site 53,CALOOLA DRIVE off DUCAT STREET southern end,"-28.179868, 153.527203",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 53,Tweed Heads,RD.206.10.A,Caloola Drive,Tweed Heads
Site 198,HOGANS ROAD off DULGIGAN ROAD,"-28.264632, 153.450879",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 198,North Tumbulgum,RD.605.10.A,Hogans Road,North Tumbulgum
Site 199,HOGANS ROAD south of GUMBLETON ROAD,"-28.243856, 153.444369",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 199,North Tumbulgum,RD.605.50.A,Hogans Road,Upper Duroby
Site 54,CABARITA ROAD at No 48,"-28.331928, 153.564586",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 54,Bogangar,RD.201.10.A,Cabarita Road,Bogangar
Site 55,CABARITA ROAD near No 86,"-28.336878, 153.565888",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 55,Bogangar,RD.201.40.A,Cabarita Road,Bogangar
Site 201,HOGANS ROAD off BILAMBIL ROAD,"-28.227449, 153.464828",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 201,Bilambil,RD.605.80.A,Hogans Road,Bilambil
Site 202,HOLDEN STREET at No 19,"-28.194314, 153.531105",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 202,Tweed Heads,RD.609.10.A,Holden Street,Tweed Heads South
Site 56,CABARITA ROAD at No 99,"-28.335577, 153.566126",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 56,Bogangar,RD.201.30.A,Cabarita Road,Bogangar
Site 203,HONEYMYRTLE DRIVE at No 41,"-28.217725, 153.5301",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 203,Banora Point,RD.611.20.A,Honeymyrtle Drive,Banora Point
Site 204,HOPKINS CK ROAD off NUMINBAH ROAD,"-28.29684, 153.269418",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 204,Chillingham,RD.615.10.A,Hopkins Creek Road,Chillingham
Site 57,CAMPBELLS  ROAD off DUNGAY CREEK ROAD,"-28.28351, 153.372001",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 57,Dungay,RD.209.10.A,Campbells Road,Dungay
Site 205,HULLS ROAD off TWEED VALLEY WAY,"-28.450542, 153.503487",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 205,Crabbes Creek,RD.619.10.A,Hulls Road,Crabbes Creek
Site 206,HUNTER STREET at No 15,"-28.438916, 153.475859",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 206,Burringbar,RD.622.10.A,Hunter Street,Burringbar
Site 58,CANE ROAD off QUEENSLAND ROAD,"-28.313512, 153.392617",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 58,Tygalgah,RD.211.90.A,Cane Road,Tygalgah
Site 207,INLET DRIVE at No 1,"-28.190902, 153.507349",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 207,Tweed Heads West,RD.630.10.A,Inlet Drive,Tweed Heads West
Site 208,ISLAND DRIVE off KEITH COMPTON DRIVE,"-28.1842, 153.546051",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 208,Tweed Heads,RD.634.10.A,Island Drive,Tweed Heads
Site 59,CANE ROAD east of TUMBULGUM ROAD,"-28.312845, 153.428254",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 59,Tygalgah,RD.211.20.A,Cane Road,Tygalgah
Site 209,JAMES ROAD at No 17,"-28.197127, 153.518036",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 209,Tweed Heads,RD.1777.20.A,James Road,Tweed Heads South
Site 60,CARAMAR DRIVE off PIGGABEEN ROAD,"-28.190469,153.499797",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 60,Tweed Heads West,RD.1585.10.A,Carramar Drive,Tweed Heads West
Site 211,KEITH COMPTON DRIVE south of BRETT STREET,"-28.17883, 153.543365",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 211,Tweed Heads,RD.669.60.A.1,Keith Compton Drive,Tweed Heads
Site 212,KEITH COMPTON DRIVE south of FLORENCE STREET,"-28.176119, 153.54653",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 212,Tweed Heads,RD.669.10.A,Keith Compton Drive,Tweed Heads
Site 61,CAROOL ROAD west of BILAMBIL STORE,"-28.224231, 153.466231",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 61,Carool,RD.220.10.A,Carool Road,Bilambil
Site 213,KENNEDY DRIVE under BOYD'S BAY BRIDGE,"-28.182492, 153.537363",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 213,Tweed Heads,RD.675.20.A,Kennedy Drive,Tweed Heads
Site 214,KENNEDY DRIVE access to WHARF STREET,"-28.182384, 153.537291",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 214,Tweed Heads,RD.1422.30.A,Wharf Street,Tweed Heads
Site 62,CAROOL ROAD west of the SCHOOL,"-28.229734, 153.428656",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 62,Carool,RD.220.60.A,Carool Road,Carool
Site 215,KENNEDY DRIVE exit from BOYD'S BAY BRIDGE,"-28.182864, 153.536774",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 215,Tweed Heads,RD.675.20.A,Kennedy Drive,Tweed Heads
Site 216,KENNEDY DRIVE east of SECOND AVENUE,"-28.182956, 153.536387",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 216,Tweed Heads,RD.675.20.A,Kennedy Drive,Tweed Heads
Site 63,CASUARINA WAY at No 358 (north of Windsong Way),"-28.286931, 153.572955",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 63,Salt,RD.233.70.A.1,Casuarina Way,Kingscliff
Site 217,KENNEDY DRIVE near CRYSTAL WATERS DRIVE,"-28.186923, 153.528358",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 217,Tweed Heads,RD.675.40.A,Kennedy Drive,Tweed Heads
Site 218,KENNEDY DRIVE west of DUCAT,"-28.186092, 153.525972",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 218,Tweed Heads,RD.675.60.C,Kennedy Drive,Tweed Heads
Site 64,CASUARINA WAY north of SALT,"-28.268095, 153.578778",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 64,Salt,RD.233.110.A,Casuarina Way,Kingscliff
Site 219,KENNEDY DRIVE west of DUCAT westbound Special,"-28.186208, 153.526142",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 219,Tweed Heads,RD.675.50.B,Kennedy Drive,Tweed Heads
Site 65,CASUARINA WAY north of SALT Special,"-28.268018, 153.579269",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 65,Salt,RD.233.110.A,Casuarina Way,Kingscliff
Site 221,KENNEDY DRIVE east of ROSE STREET,"-28.186826, 153.522897",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 221,Tweed Heads,RD.675.90.A.1,Kennedy Drive,Tweed Heads
Site 66,CHARLES STREET TWEED HEADS at No 17,"-28.179031, 153.535909",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 66,Tweed Heads,RD.249.30.A,Charles Street,Tweed Heads
Site 222,KENNEDY DRIVE west of No 226,"-28.189048, 153.510794",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 222,Tweed Heads West,RD.675.110.A,Kennedy Drive,Tweed Heads West
Site 223,KENT STREET at No 4,"-28.177269, 153.531825",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 223,Tweed Heads,RD.677.10.A,Kent Street,Tweed Heads
Site 67,CHILLCOTTS ROAD eastern end,"-28.311991, 153.32163",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 67,Crystal Creek,RD.257.10.A,Chilcotts Road,Crystal Creek
Site 224,KIELYS ROAD off POTTSVILLE ROAD,"-28.43875, 153.489532",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 224,Mooball,USR.685.20.A,Kielys Road,Mooball
Site 226,KINGSCLIFF STREET at No 127,"-28.239371, 153.566045",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 226,Kingscliff,RD.694.60.A,Kingscliff Street,Kingscliff
Site 68,CHILLCOTTS ROAD western end,"-28.312885, 153.28939",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 68,Chillingham,RD.257.70.A,Chilcotts Road,Crystal Creek
Site 227,KINTYRE CRESCENT at No 4,"-28.229803, 153.527652",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 227,Banora Point,RD.697.10.A.1,Kintyre Crescent,Banora Point
Site 228,KIORA STREET off TERRANORA ROAD,"-28.22887, 153.542191",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 228,Banora Point,RD.698.10.A,Kiora Street,Banora Point
Site 69,CHINDERAH BAY DRIVE north of WAUGH STREET,"-28.232135, 153.556569",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 69,Chinderah,RD.259.20.A,Chinderah Bay Drive,Chinderah
Site 229,KIRKWOOD ROAD (West) at No 206,"-28.195426, 153.521421",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 229,Tweed Heads,RD.701.45.A,Kirkwood Road,Tweed Heads South
Site 70,CHINDERAH BAY DRIVE south of WOMMIN BAY RD,"-28.237808,153.553275",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 70,Chinderah,RD.259.45.A,Chinderah Bay Drive,Chinderah
Site 231,KIRKWOOD ROAD west of MINJUNGBAL DRIVE,"-28.198244, 153.541782",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 231,Tweed Heads,RD.701.30.A,Kirkwood Road,Tweed Heads South
Site 232,LAKES DRIVE at No 25 (east of Gollan Dr),"-28.193815, 153.508168",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 232,Tweed Heads West,RD.1297.30.A,Lakes Drive,Tweed Heads West
Site 71,CHINDERAH ROAD off CHINDERAH BAY DRIVE,"-28.240573, 153.550344",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 71,Chinderah,RD.260.20.A,Chinderah Road,Chinderah
Site 233,LAURA STREET at No 10,"-28.215545, 153.547107",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 233,Banora Point,RD.730.10.A.1,Laura Street,Banora Point
Site 234,LEDDAYS CREEK ROAD off M.R.679 TWEED VALLEY WAY,"-28.277036, 153.497387",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 234,Stotts Creek,RD.1812.10.A,Leddays Creek Road,Stotts Creek
Site 72,CHINDERAH ROAD northbound OFF RAMP,"-28.244922, 153.550764",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 72,Chinderah,RD.2184.400.R,Tweed Coast Road,Chinderah
Site 235,LEDDAYS CREEK ROAD AT SOLO WASTE entry,"-28.290291, 153.491472",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 235,Stotts Creek,RD.1812.60.A,Leddays Creek Road,Stotts Creek
Site 236,LEISURE DRIVE at No 3-7,"-28.214161, 153.54122",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 236,Banora Point,RD.734.10.A,Leisure Drive,Banora Point
Site 73,CHINDERAH ROAD northbound on ramp to MOTORWAY,"-28.243715, 153.554498",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 73,Chinderah,RD.2184.390.Q,Tweed Coast Road,Chinderah
Site 237,LEISURE DRIVE east  of GREENWAY DRIVE,"-28.212831, 153.535048",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 237,Banora Point,RD.734.20.A,Leisure Drive,Banora Point
Site 238,LEISURE DRIVE west of GREENWAY DRIVE,"-28.21219, 153.532854",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 238,Banora Point,RD.734.40.A,Leisure Drive,Banora Point
Site 74,CHINDERAH ROAD southbound off RAMP,"-28.243499, 153.556648",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 74,Chinderah,RD.938.50.A,Ozone Street,Chinderah
Site 239,LEISURE DRIVE east of FRASER DRIVE,"-28.21357, 153.523781",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 239,Banora Point,RD.734.70.B,Leisure Drive,Banora Point
Site 75,CHINDERAH ROAD southbound on ramp to MOTORWAY,"-28.245355, 153.550878",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 75,Chinderah,RD.2184.400.R,Tweed Coast Road,Chinderah
Site 241,LETITIA ROAD north of CARAVAN PARK,"-28.195267, 153.563805",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 241,Fingal,RD.735.10.A,Letitia Road,Fingal Head
Site 76,CHINDERAH ROAD northbound THROUGH ROUNDABOUT,"-28.245273, 153.55313",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 76,Chinderah,RD.2184.390.B,Tweed Coast Road,Chinderah
Site 242B,FINGAL ROAD at SHEOAK SHAK RESTURANT,"-28.201944, 153.564319",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 242B,Fingal,RD.493.70.A,Fingal Road,Fingal Head
Site 243,LIMOSA ROAD off KENNEDY DRIVE,"-28.188087, 153.514233",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 243,Tweed Heads West,RD.740.10.A,Limosa Road,Tweed Heads West
Site 77,CHINDERAH ROAD southbound THROUGH ROUNDABOUT,"-28.24502, 153.55317",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 77,Chinderah,RD.2184.390.C,Tweed Coast Road,Chinderah
Site 244,LIMPINWOOD ROAD north of TYALGUM VILLAGE,"-28.354896, 153.210329",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 244,Limpinwood,RD.741.10.A.1,Limpinwood Road,Tyalgum
Site 245,LIMPINWOOD VALLEY ROAD. off LIMPINWOOD ROAD,"-28.316566, 153.228187",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 245,Limpinwood,RD.743.10.A,Limpinwood Valley Road,Limpinwood
Site 78,CHITTICKS LANE halfway along,"-28.201569, 153.56554",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 78,Fingal,RD.262.10.A,Chitticks Lane,Fingal Head
Site 246,LOCHLOMOND DRIVE off DARLINGTON DRIVE,"-28.228326, 153.538285",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 246,Banora Point,RD.747.10.A,Lochlomond Drive,Banora Point
Site 247,LOCHLOMOND DRIVE at No 91,"-28.228791, 153.537268",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 247,Banora Point,RD.747.10.A,Lochlomond Drive,Banora Point
Site 79,CHOWAN CK. ROAD just past ROWLANDS CK ROAD turn off,"-28.436726, 153.346076",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 79,Chowan Creek,RD.263.10.A,Chowan Creek Road,Rowlands Creek
Site 248,LOCHLOMOND DRIVE at No 73,"-28.228517, 153.535606",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 248,Banora Point,RD.747.10.A,Lochlomond Drive,Banora Point
Site 249,LOCHLOMOND DRIVE at No 3 (No 20),"-28.230244, 153.52798",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 249,Banora Point,RD.747.50.A,Lochlomond Drive,Banora Point
