site,description,latlong,sharelink,Locality,Segment.ASSET_ID,Segment.ROAD_NAME,Segment.SUBURB
Site 554,CLOTHIERS CREEK ROAD west of SLIPRAILS ROAD,"-28.330727, 153.54687",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 554,Tanglewood,RD.279.20.A,Clothiers Creek Road,Bogangar
Site 555,HASTINGS ROAD at No 56,"-28.333316, 153.569297",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 555,Bogangar,RD.582.40.A,Hastings Road,Bogangar
Site 556,CANE ROAD west of TUMBULGUM ROAD,"-28.312611, 153.428008",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 556,Tygalgah,RD.211.20.A,Cane Road,Tygalgah
Site 557,TWEED COAST ROAD south of CORONATION AVENUE,"-28.389388, 153.56536",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 557,Pottsville,RD.2184.100.A,Tweed Coast Road,Pottsville
Site 558,"KINGSCLIFF STREET at No 33 (No 31, No 35)","-28.248087, 153.569108",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 558,Kingscliff,RD.694.40.A,Kingscliff Street,Kingscliff
Site 559,CASUARINA WAY at No 552,"-28.300785, 153.571296",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 559,Casuarina,RD.233.50.A,Casuarina Way,Casuarina
Site 360,NULLUM STREET south of JAMES STREET,"-28.333525, 153.392344",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 360,Murwillumbah,RD.888.60.A,Nullum Street,Murwillumbah
Site 561,CASUARINA WAY at No 344/No 348,"-28.286055, 153.573073",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 561,Salt,RD.233.70.A.1,Casuarina Way,Kingscliff
Site 562,KIRKWOOD ROAD west of Falcon Way (east of cemetery entrance),"-28.197385, 153.535409",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 562,Tweed Heads,RD.701.35.A,Kirkwood Road,Tweed Heads South
Site 563,M.R.399 NUMINBAH ROAD near No 1983 NUMINBAH ROAD,"-28.277283, 153.253136",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 563,Numinbah,RD.889.310.A,Numinbah Road,Numinbah
Site 564,QUIGAN STREET at No 28,"-28.259384, 153.574551",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 564,Kingscliff,RD.1077.30.A,Quigan Street,Kingscliff
Site 565,TAMARIND AVENUE at No 10,"-28.328543, 153.566751",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 565,Bogangar,RD.1263.20.A.1,Tamarind Avenue,Bogangar
Site 566,M.R.450 POTTSVILLE ROAD east of No 1128,"-28.38909, 153.558734",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 566,Pottsville,RD.1058.220.A,Pottsville Road,Pottsville
Site 567B,BOOKA ROAD at No61,"-28.26507, 153.305798",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 567B,Upper Crystal Creek,RD.175.30.A,Booka Road,Upper Crystal Creek
Site 568,BUCHANAN STREET at SHIRE DEPOT,"-28.327471, 153.409624",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 568,South Murwillumbah,RD.182.10.A.1,Buchanan Street,South Murwillumbah
Site 569,BUCHANAN STREET at No 1985 NUMINBAH ROAD,"-28.328853, 153.409404",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 569,South Murwillumbah,RD.182.20.A.1,Buchanan Street,South Murwillumbah
Site 571B,KANES ROAD west of HIGHWAY CROSSING BRIDGE,"-28.373458, 153.524218",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 571B,Cudgera Creek,RD.660.10.A,Kanes Road,Round Mountain
Site 572,M.R.142 KYOGLE ROAD east of KUNGHUR VILLAGE,"-28.471801, 153.257296",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 572,Kunghur,RD.711.170.A,Kyogle Road,Kunghur
Site 573,PIGGABEEN RD at No 581,"-28.189181, 153.460526",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 573,Piggabeen,RD.1032.130.A,Piggabeen Road,Piggabeen
Site 574C,ROSE STREET at No 17,"-28.186087, 153.52271",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 574C,Tweed Heads,RD.1136.10.A,Rose Street,Tweed Heads West
Site 575,ROSE STREET at No 9,"-28.184922, 153.522898",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 575,Tweed Heads,RD.1136.10.A,Rose Street,Tweed Heads West
Site 576,SCENIC DRIVE south of MOUNT BILINGA CIRCUIT,"-28.204604, 153.490112",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 576,Bilambil Heights,RD.1173.50.C,Scenic Drive,Bilambil Heights
Site 380,PIGGABEEN RD at No 783,"-28.193389, 153.446269",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 380,Piggabeen,RD.1032.185.A,Piggabeen Road,Piggabeen
Site 577,M.R.142 KYOGLE ROAD west of BAKERS ROAD,"-28.356532, 153.360428",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 577,Byangum,RD.711.435.A.1,Kyogle Road,Byangum
Site 578,ARKINSTALL PARK off CUNNINGHAM STREET,"-28.19378, 153.536196",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 578,Tweed Heads,RD.378.20.A,Cunningham Street,Tweed Heads South
Site 579,ARKINSTALL PARK near SOCCER CLUB,"-28.19553, 153.53649",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 579,Tweed Heads,RD.936.10.A.1,Oxley Street,Tweed Heads South
Site 581,AIRFIELD AVENUE at  No 9,"-28.331165, 153.414881",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 581,South Murwillumbah,RD.9.10.A,Airfield Avenue,South Murwillumbah
