PLAN,DESCRIPTION,APPLICATION_REFERENCE,APPLICATION_NO,chargeAcPrefix,chargeAc,chargeAmount,VALUEFIRST,VALUEFIRST_LABEL,VALUE1_LABEL,VALUE1,VALUE2_LABEL,VALUE2,VALUE3_LABEL,VALUE3,VALUE4_LABEL,VALUE4,LikelyExpired,PROPERTY_NO,Purpose,transAcPrefix,transAc,transAmount
S94-05,S94-05 - Casual Open Space (Local),DA04/1618,415159,ZFRI,ZFRInfrastructure,266904,326,ET (Structured),ET (Structured),326,ET (Casual),326,,,,,Expired,11797,Open Space,ZFDC,ZFDCCasualOS_5,-10382
S94-05,S94-05 - Casual Open Space (Local),DA04/1643,415460,ZFRI,ZFRInfrastructure,21888,21.883,ET (Structured),ET (Structured),21.883,ET (Casual),21.8445,,,,,Expired,24985,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA04/1652,415518,ZFRI,ZFRInfrastructure,487,2.9228,ET (Structured),ET (Structured),2.9228,ET (Casual),2.9162,,,,,Expired,10345,Open Space,ZFDC,ZFDCCasualOS_5,-487
S94-05,S94-05 - Casual Open Space (Local),DA05/0002,415846,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,2413,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA05/0006,415853,ZFRI,ZFRInfrastructure,269,1.6152,ET (Structured),ET (Structured),1.6152,ET (Casual),1.6108,,,,,Expired,20429,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA05/0019,416144,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,17519,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA05/0099,417081,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,76160,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA05/0120,417349,ZFRI,ZFRInfrastructure,51,0.376,ET (Structured),ET (Structured),0.376,ET (Casual),0.3054,,,,,Expired,8272,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA05/0143,417698,ZFRI,ZFRInfrastructure,322,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,17504,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA05/0185,418273,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,100390,Open Space,ZFDC,ZFDCCasualOS_5,-51
