,,," $922,052,571 ",,,,,,,,,,,,,,,,,,
 Item No. , TRDS Item , Tweed Road Contribution Projects , TOTAL ,Column1, Active , Cost Estimate , Column2 , Construction Cost , Professional & Principal Costs ,, Preliminaries ,, Traffic Control ,, Contingency  ,, Escalation ,,,,
,,,,,,,,, Rate ,Cost ($), Rate ,Cost ($), Rate ,Cost ($), Rate ,Cost ($), Year , Rate ,Cost ($),,
51.00,23/24,Broadwater Parkway - Fraser Dr to first Intersection (including first intersection and intersection with Fraser Dr and includes Amaroo Dr realignment) (250m)," $11,489,746 ",,Yes,,," $6,904,895.19 ",10%," $690,490 ",9%," $621,441 ",9%," $621,441 ",30.00%," $2,651,480 ",,0.00%, $-   ,,
51.03,20,Fraser Drive intersection - Amaroo Dr reprioritisation, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
57.02,LEGACY,Leisure Dr upgrade - Winders Pl to Greenway Dr (390m)," $3,172,092 ",,Partially completed,,," $1,807,459.68 ",13%," $234,970 ",11%," $198,821 ",11%," $198,821 ",30.00%," $732,021 ",,0.00%, $-   ,,
61.06,27,Minjungbal Dr Extend Davey St( from Kirkwood to intersection Eastlakes Dr and Soorley St), $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
61.07,27,Minjungbal Dr Extend Eastlakes Dr - E2 Environmental land acquisition,,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
61.07,27,Minjungbal Dr Extend Eastlakes Drive RE2 Recreational land acquisition,,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
61.20,20,Greenway Dr and Traders Way intersection upgrade," $1,793,678 ",,Yes,,," $958,161.46 ",16%," $153,306 ",15%," $143,724 ",13%," $124,561 ",30.00%," $413,926 ",,0.00%, $-   ,,
61.21,22,Four-laning from 62 Greenway Drive to Leisure Drive Intersection, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
61.23,27,Minjungbal Dr and Machinery Dr intersection upgrade," $1,052,064 ",,Yes,,," $562,000.00 ",16%," $89,920 ",15%," $84,300 ",13%," $73,060 ",30.00%," $242,784 ",,0.00%, $-   ,,
61.24,28,Sexton Hill Dr and Darlington Dr intersection upgrade," $1,177,422 ",,Yes,,," $628,965.00 ",16%," $100,634 ",15%," $94,345 ",13%," $81,765 ",30.00%," $271,713 ",,0.00%, $-   ,,
36.46,25,Terranora Rd and Mahers Ln intersection upgrade," $1,793,678 ",,Yes,,," $958,161.46 ",16%," $153,306 ",15%," $143,724 ",13%," $124,561 ",30.00%," $413,926 ",,0.00%, $-   ,,
65.00,30,Wommin Bay Rd and Sand St intersection upgrade," $1,862,068 ",,Yes,,," $994,694.26 ",16%," $159,151 ",15%," $149,204 ",13%," $129,310 ",30.00%," $429,708 ",,0.00%, $-   ,,
66.00,38,Terrace Street and Sand Street intersection upgrade, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
67.00,LEGACY,Sand St upgrade - Terrace St to Ozone St (375m) (including Terrace St intersection upgrade)," $4,818,103 ",,Yes,,," $2,745,357.80 ",13%," $356,897 ",11%," $301,989 ",11%," $301,989 ",30.00%," $1,111,870 ",,0.00%, $-   ,,
68.00,37,Sand St and Ozone St intersection upgrade, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
69.00,38 & 39,Elrond Dr Extension - Beach St to Sand St (510m) (including Ozone St and Beach St intersection upgrades)," $17,893,244 ",,Yes,,," $10,753,151.46 ",10%," $1,075,315 ",9%," $967,784 ",9%," $967,784 ",30.00%," $4,129,210 ",,0.00%, $-   ,,
74.00,LEGACY,Ozone St upgrade - Kingscliff St to Sand St (400m)," $2,916,675 ",,Yes,,," $2,160,500.00 ",13%," $280,865 ",11%," $237,655 ",11%," $237,655 ",, $-   ,,0.00%, $-   ,,
75.00,33,Gales North Link Rd - Tweed Coast Rd to Elrond Dr Extension Link Rd (1050m) (not including intersections)," $35,889,388 ",,Yes,,," $23,199,346.00 ",7%," $1,623,954 ",6%," $1,391,961 ",6%," $1,391,961 ",30.00%," $8,282,167 ",,0.00%, $-   ,,
75.01,34,Sand St to Tweed Coast Road - industrial land (E1) acquisition, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
75.02,34,Sand St to Tweed Coast Road - environmental land (E2) acquisition, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
75.04,34,Pacific St to Elrond Rd extension, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
75.03,34,Sand St to Tweed Coast Road - residential land (R1) land acquisition, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
77.00,34,Rotumah St/Ozone St link road, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
78.00,36,Tweed Coast Road and Gales North Link Road Intersection , $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
80.00,LEGACY,Turnock Street Elrond to Pearl St widen to four lanes and Strengthen, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
